TransactionNo,Items,DateTime,Daypart,DayType
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend
40,Juice,2016-10-30 11:55:51,Morning,Weekend
40,Tartine,2016-10-30 11:55:51,Morning,Weekend
40,Coffee,2016-10-30 11:55:51,Morning,Weekend
40,Muffin,2016-10-30 11:55:51,Morning,Weekend
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend
42,Bread,2016-10-30 11:57:45,Morning,Weekend
42,Tea,2016-10-30 11:57:45,Morning,Weekend
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend
81,Coffee,2016-10-31 08:28:31,Morning,Weekday
81,Cake,2016-10-31 08:28:31,Morning,Weekday
82,Tartine,2016-10-31 08:47:05,Morning,Weekday
82,Bread,2016-10-31 08:47:05,Morning,Weekday
83,Coffee,2016-10-31 08:57:47,Morning,Weekday
83,Bread,2016-10-31 08:57:47,Morning,Weekday
84,Bread,2016-10-31 09:04:06,Morning,Weekday
85,Coffee,2016-10-31 09:10:09,Morning,Weekday
85,Coffee,2016-10-31 09:10:09,Morning,Weekday
85,Pastry,2016-10-31 09:10:09,Morning,Weekday
85,Medialuna,2016-10-31 09:10:09,Morning,Weekday
86,Juice,2016-10-31 09:11:08,Morning,Weekday
87,Bread,2016-10-31 09:12:56,Morning,Weekday
88,Coffee,2016-10-31 09:16:01,Morning,Weekday
88,Coffee,2016-10-31 09:16:01,Morning,Weekday
88,Jam,2016-10-31 09:16:01,Morning,Weekday
89,Bread,2016-10-31 09:19:41,Morning,Weekday
90,Bread,2016-10-31 09:20:12,Morning,Weekday
90,Coffee,2016-10-31 09:20:12,Morning,Weekday
91,Tea,2016-10-31 09:22:48,Morning,Weekday
92,Coffee,2016-10-31 09:27:11,Morning,Weekday
93,Bread,2016-10-31 09:29:23,Morning,Weekday
93,Coke,2016-10-31 09:29:23,Morning,Weekday
94,Coffee,2016-10-31 09:39:09,Morning,Weekday
94,Coffee,2016-10-31 09:39:09,Morning,Weekday
95,Tea,2016-10-31 09:43:37,Morning,Weekday
95,Pastry,2016-10-31 09:43:37,Morning,Weekday
95,Farm House,2016-10-31 09:43:37,Morning,Weekday
96,Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Coffee,2016-10-31 09:46:48,Morning,Weekday
96,Juice,2016-10-31 09:46:48,Morning,Weekday
97,Coffee,2016-10-31 09:51:11,Morning,Weekday
97,Pastry,2016-10-31 09:51:11,Morning,Weekday
97,Juice,2016-10-31 09:51:11,Morning,Weekday
98,Farm House,2016-10-31 09:52:22,Morning,Weekday
99,Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Coffee,2016-10-31 09:56:37,Morning,Weekday
99,Bread,2016-10-31 09:56:37,Morning,Weekday
100,Bread,2016-10-31 09:58:06,Morning,Weekday
101,Coffee,2016-10-31 10:04:02,Morning,Weekday
101,Pastry,2016-10-31 10:04:02,Morning,Weekday
102,Farm House,2016-10-31 10:04:44,Morning,Weekday
103,Bread,2016-10-31 10:07:40,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
104,Medialuna,2016-10-31 10:12:48,Morning,Weekday
104,Muffin,2016-10-31 10:12:48,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
105,Coffee,2016-10-31 10:21:29,Morning,Weekday
105,Tea,2016-10-31 10:21:29,Morning,Weekday
105,Cake,2016-10-31 10:21:29,Morning,Weekday
106,Coffee,2016-10-31 10:24:21,Morning,Weekday
106,Coffee,2016-10-31 10:24:21,Morning,Weekday
106,Pastry,2016-10-31 10:24:21,Morning,Weekday
106,Pastry,2016-10-31 10:24:21,Morning,Weekday
107,Coffee,2016-10-31 10:27:30,Morning,Weekday
107,Tea,2016-10-31 10:27:30,Morning,Weekday
108,Farm House,2016-10-31 10:31:05,Morning,Weekday
108,Muffin,2016-10-31 10:31:05,Morning,Weekday
109,Bread,2016-10-31 10:35:23,Morning,Weekday
109,Muffin,2016-10-31 10:35:23,Morning,Weekday
109,Pastry,2016-10-31 10:35:23,Morning,Weekday
110,Pastry,2016-10-31 10:36:37,Morning,Weekday
111,Coffee,2016-10-31 10:38:09,Morning,Weekday
112,Coffee,2016-10-31 10:59:17,Morning,Weekday
113,Coffee,2016-10-31 11:02:37,Morning,Weekday
113,Cake,2016-10-31 11:02:37,Morning,Weekday
114,Farm House,2016-10-31 11:05:45,Morning,Weekday
115,Bread,2016-10-31 11:08:53,Morning,Weekday
116,Coffee,2016-10-31 11:11:01,Morning,Weekday
117,Cookies,2016-10-31 11:13:08,Morning,Weekday
117,Cake,2016-10-31 11:13:08,Morning,Weekday
117,Coffee,2016-10-31 11:13:08,Morning,Weekday
117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday
118,Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Tea,2016-10-31 11:18:29,Morning,Weekday
118,Pastry,2016-10-31 11:18:29,Morning,Weekday
119,Coffee,2016-10-31 11:25:56,Morning,Weekday
119,Coffee,2016-10-31 11:25:56,Morning,Weekday
119,Muffin,2016-10-31 11:25:56,Morning,Weekday
120,Farm House,2016-10-31 11:29:01,Morning,Weekday
121,Coffee,2016-10-31 11:30:59,Morning,Weekday
121,Bread,2016-10-31 11:30:59,Morning,Weekday
122,Cookies,2016-10-31 11:37:30,Morning,Weekday
123,Jam,2016-10-31 11:42:05,Morning,Weekday
123,Coffee,2016-10-31 11:42:05,Morning,Weekday
123,Coffee,2016-10-31 11:42:05,Morning,Weekday
123,Juice,2016-10-31 11:42:05,Morning,Weekday
124,Coffee,2016-10-31 11:43:10,Morning,Weekday
124,Soup,2016-10-31 11:43:10,Morning,Weekday
125,Tea,2016-10-31 11:47:18,Morning,Weekday
126,Coffee,2016-10-31 11:52:43,Morning,Weekday
126,Jam,2016-10-31 11:52:43,Morning,Weekday
127,Farm House,2016-10-31 11:53:11,Morning,Weekday
128,Tartine,2016-10-31 11:55:00,Morning,Weekday
128,Coffee,2016-10-31 11:55:00,Morning,Weekday
128,Tea,2016-10-31 11:55:00,Morning,Weekday
129,Coffee,2016-10-31 11:59:23,Morning,Weekday
129,Coffee,2016-10-31 11:59:23,Morning,Weekday
129,Cake,2016-10-31 11:59:23,Morning,Weekday
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130,Muffin,2016-10-31 12:03:12,Afternoon,Weekday
131,Bread,2016-10-31 12:08:28,Afternoon,Weekday
131,Coffee,2016-10-31 12:08:28,Afternoon,Weekday
132,Tea,2016-10-31 12:14:20,Afternoon,Weekday
132,Juice,2016-10-31 12:14:20,Afternoon,Weekday
132,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday
132,Cookies,2016-10-31 12:14:20,Afternoon,Weekday
133,Hearty & Seasonal,2016-10-31 12:16:32,Afternoon,Weekday
133,Soup,2016-10-31 12:16:32,Afternoon,Weekday
134,Hearty & Seasonal,2016-10-31 12:19:37,Afternoon,Weekday
134,Tea,2016-10-31 12:19:37,Afternoon,Weekday
134,Farm House,2016-10-31 12:19:37,Afternoon,Weekday
135,Bread,2016-10-31 12:20:21,Afternoon,Weekday
136,Tea,2016-10-31 12:27:41,Afternoon,Weekday
136,Soup,2016-10-31 12:27:41,Afternoon,Weekday
137,Farm House,2016-10-31 12:37:07,Afternoon,Weekday
138,Soup,2016-10-31 12:43:35,Afternoon,Weekday
138,Hearty & Seasonal,2016-10-31 12:43:35,Afternoon,Weekday
138,Coffee,2016-10-31 12:43:35,Afternoon,Weekday
139,Bread,2016-10-31 12:50:57,Afternoon,Weekday
139,Muffin,2016-10-31 12:50:57,Afternoon,Weekday
139,Hearty & Seasonal,2016-10-31 12:50:57,Afternoon,Weekday
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140,Cookies,2016-10-31 12:53:33,Afternoon,Weekday
141,Bread,2016-10-31 12:54:28,Afternoon,Weekday
142,Tea,2016-10-31 12:56:47,Afternoon,Weekday
142,Muffin,2016-10-31 12:56:47,Afternoon,Weekday
143,Tea,2016-10-31 12:59:08,Afternoon,Weekday
144,Soup,2016-10-31 13:02:11,Afternoon,Weekday
144,Hearty & Seasonal,2016-10-31 13:02:11,Afternoon,Weekday
145,Coffee,2016-10-31 13:05:49,Afternoon,Weekday
145,Tea,2016-10-31 13:05:49,Afternoon,Weekday
145,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday
146,Sandwich,2016-10-31 13:08:30,Afternoon,Weekday
147,Tartine,2016-10-31 13:09:31,Afternoon,Weekday
147,Coffee,2016-10-31 13:09:31,Afternoon,Weekday
148,Fudge,2016-10-31 13:21:17,Afternoon,Weekday
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
149,Coffee,2016-10-31 13:26:03,Afternoon,Weekday
150,Bread,2016-10-31 13:31:33,Afternoon,Weekday
151,Coke,2016-10-31 13:50:17,Afternoon,Weekday
151,Soup,2016-10-31 13:50:17,Afternoon,Weekday
